Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month Name,Profit Margin
CA-2016-118255,29-11-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.00,0.00,19.77,2016,November,0.43
CA-2014-146703,30-11-2016,25-10-2014,Second Class,PO-18865,Patrick O'Donnell,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.00,0.00,8.48,2016,November,0.04
CA-2016-169194,01-12-2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3.00,0.00,4.95,2016,December,0.11
CA-2015-115742,02-12-2016,22-04-2015,Standard Class,DP-13000,Darren Powers,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.00,0.00,17.96,2016,December,0.47
CA-2016-105816,03-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.00,0.00,6.26,2016,December,0.41
CA-2016-111682,04-12-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.00,0.00,52.14,2016,December,0.25
CA-2015-135545,05-12-2016,30-11-2015,Standard Class,KM-16720,Kunst Miller,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.00,0.00,6.15,2016,December,0.44
US-2015-164175,06-12-2016,05-05-2015,Standard Class,PS-18970,Paul Stevenson,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5.00,0.30,-15.22,2016,December,-0.071428571
CA-2014-106376,07-12-2016,10-12-2014,Standard Class,BS-11590,Brendan Sweed,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8.00,0.20,111.30,2016,December,0.1
CA-2016-119823,08-12-2016,06-06-2016,First Class,KD-16270,Karen Daniels,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.00,0.00,35.66,2016,December,0.47
CA-2016-106075,09-12-2016,23-09-2016,Standard Class,HM-14980,Henry MacAllister,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1.00,0.20,1.73,2016,December,0.375
CA-2017-114440,10-12-2016,17-09-2017,Second Class,TB-21520,Tracy Blumstein,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.00,0.00,8.76,2016,December,0.46
US-2015-134026,11-12-2016,02-05-2015,Standard Class,JE-15745,Joel Eaton,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8.00,0.20,-114.39,2016,December,-0.1375
US-2017-118038,12-12-2016,11-12-2017,First Class,KB-16600,Ken Brennan,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3.00,0.80,-1.93,2016,December,-1.55
US-2014-147606,13-12-2016,01-12-2014,Second Class,JE-15745,Joel Eaton,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5.00,0.60,-14.48,2016,December,-0.75
CA-2016-127208,14-12-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.00,0.00,56.20,2016,December,0.27
CA-2014-139451,15-12-2016,16-10-2014,Standard Class,DN-13690,Duane Noonan,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5.00,0.00,4.17,2016,December,0.28
CA-2015-149734,16-12-2016,08-09-2015,Standard Class,JC-16105,Julie Creighton,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7.00,0.20,62.81,2016,December,0.3125
US-2017-119662,17-12-2016,16-11-2017,First Class,CS-12400,Christopher Schild,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3.00,0.20,-48.95,2016,December,-0.2125
CA-2017-140088,18-12-2016,30-05-2017,Second Class,PO-18865,Patrick O'Donnell,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.00,0.00,33.22,2016,December,0.11
CA-2017-155558,19-12-2016,02-11-2017,Standard Class,PG-18895,Paul Gonzalez,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.00,0.00,6.80,2016,December,0.34
CA-2016-159695,20-12-2016,10-04-2016,Second Class,GM-14455,Gary Mitchum,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7.00,0.20,13.86,2016,December,0.0875
CA-2016-109806,21-12-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3.00,0.00,6.63,2016,December,0.33
CA-2015-149587,22-12-2016,05-02-2015,Second Class,KB-16315,Karl Braun,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2.00,0.00,6.22,2016,December,0.48
US-2017-109484,23-12-2016,12-11-2017,Standard Class,RB-19705,Roger Barcio,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.00,0.70,-3.79,2016,December,-0.666666667
CA-2017-161018,24-12-2016,11-11-2017,Second Class,PN-18775,Parhena Norris,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7.00,0.00,40.54,2016,December,0.42
CA-2017-157833,25-12-2016,20-06-2017,First Class,KD-16345,Katherine Ducich,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3.00,0.20,17.96,2016,December,0.35
CA-2016-149223,26-12-2016,11-09-2016,Standard Class,ER-13855,Elpida Rittenbach,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.00,0.00,22.59,2016,December,0.29
CA-2016-158568,27-12-2016,02-09-2016,Standard Class,RB-19465,Rick Bensley,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7.00,0.20,22.62,2016,December,0.35
CA-2016-129903,28-12-2016,04-12-2016,Second Class,GZ-14470,Gary Zandusky,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.00,0.00,11.72,2016,December,0.49
US-2015-156867,29-12-2016,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.90,6.00,0.20,-26.88,2016,December,-0.1125
CA-2017-119004,30-12-2016,28-11-2017,Standard Class,JM-15250,Janet Martin,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8.00,0.20,17.60,2016,December,0.2375
CA-2015-129476,31-12-2016,20-10-2015,Standard Class,PA-19060,Pete Armstrong,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5.00,0.20,67.99,2016,December,0.2
CA-2017-146780,01-01-2017,30-12-2017,Standard Class,CV-12805,Cynthia Voltz,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2.00,0.00,10.91,2017,January,0.26
CA-2016-128867,02-01-2017,10-11-2016,Standard Class,CL-12565,Clay Ludtke,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2.00,0.00,22.79,2017,January,0.3
CA-2014-115259,03-01-2017,27-08-2014,Second Class,RC-19960,Ryan Crowe,Columbus,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.10,14.00,0.20,14.53,2017,January,0.3625
CA-2015-110457,04-01-2017,06-03-2015,Standard Class,DK-13090,Dave Kipp,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3.00,0.00,165.38,2017,January,0.21
US-2015-136476,05-01-2017,10-04-2015,Standard Class,GG-14650,Greg Guthrie,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79,1.00,0.70,-115.72,2017,January,-0.733333333
CA-2016-103730,06-01-2017,15-06-2016,First Class,SC-20725,Steven Cartwright,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3.00,0.00,18.35,2017,January,0.39
US-2014-152030,07-01-2017,28-12-2014,Second Class,AD-10180,Alan Dominguez,Houston,Texas,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.56,3.00,0.30,-8.58,2017,January,-0.014285714
US-2014-134614,08-01-2017,25-09-2014,Standard Class,PF-19165,Philip Fox,Bloomington,Illinois,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.70,6.00,0.50,-407.68,2017,January,-0.66
US-2017-107272,09-01-2017,12-11-2017,Standard Class,TS-21610,Troy Staebel,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.39,2.00,0.70,-1.83,2017,January,-0.766666667
US-2016-125969,10-01-2017,10-11-2016,Second Class,LS-16975,Lindsay Shagiari,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.42,2.00,0.20,-9.16,2017,January,-0.1125
US-2017-164147,11-01-2017,05-02-2017,First Class,DW-13585,Dorothy Wardle,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5.00,0.40,-11.99,2017,January,-0.2
CA-2016-145583,12-01-2017,19-10-2016,Standard Class,LC-16885,Lena Creighton,Roseville,California,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3.00,0.00,9.62,2017,January,0.48
CA-2016-110366,13-01-2017,07-09-2016,Second Class,JD-15895,Jonathan Doherty,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80,2.00,0.20,10.35,2017,January,0.125
CA-2017-106180,14-01-2017,23-09-2017,Standard Class,SH-19975,Sally Hughsby,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3.00,0.00,2.38,2017,January,0.27
CA-2017-155376,15-01-2017,27-12-2017,Standard Class,SG-20080,Sandra Glassco,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3.00,0.00,218.25,2017,January,0.26
CA-2015-110744,16-01-2017,12-09-2015,Standard Class,HA-14920,Helen Andreada,Pasadena,California,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7.00,0.00,20.16,2017,January,0.03
CA-2014-110072,17-01-2017,28-10-2014,Standard Class,MG-17680,Maureen Gastineau,Newark,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.89,4.00,0.20,12.91,2017,January,0.1375
CA-2016-114489,18-01-2017,09-12-2016,Standard Class,JE-16165,Justin Ellison,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11.00,0.00,103.80,2017,January,0.27
CA-2016-158834,19-01-2017,16-03-2016,First Class,TW-21025,Tamara Willingham,Scottsdale,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5.00,0.20,17.77,2017,January,0.1125
CA-2015-124919,20-01-2017,02-06-2015,First Class,SP-20650,Stephanie Phelps,San Jose,California,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7.00,0.00,26.27,2017,January,0.45
CA-2015-118948,21-01-2017,03-06-2015,Standard Class,NK-18490,Neil Knudson,Seattle,Washington,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3.00,0.00,1.79,2017,January,0.27
CA-2014-104269,22-01-2017,06-03-2014,Second Class,DB-13060,Dave Brooks,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2.00,0.20,51.48,2017,January,0.1125
CA-2016-114104,23-01-2017,24-11-2016,Standard Class,NP-18670,Nora Paige,Edmond,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2.00,0.00,6.87,2017,January,0.47
CA-2016-162733,24-01-2017,12-05-2016,First Class,TT-21070,Ted Trevino,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1.00,0.00,2.69,2017,January,0.45
CA-2015-119697,25-01-2017,31-12-2015,Second Class,EM-13960,Eric Murdock,Philadelphia,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.38,2.00,0.20,1.36,2017,January,0.025
CA-2016-154508,26-01-2017,20-11-2016,Standard Class,RD-19900,Ruben Dartt,Carlsbad,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.40,5.00,0.00,13.35,2017,January,0.47
CA-2016-113817,27-01-2017,11-11-2016,Standard Class,MJ-17740,Max Jones,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2.00,0.20,9.69,2017,January,0.35
CA-2014-139892,28-01-2017,12-09-2014,Standard Class,BM-11140,Becky Martin,San Antonio,Texas,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.94,3.00,0.20,2.73,2017,January,0.275
CA-2014-118962,29-01-2017,09-08-2014,Standard Class,CS-12130,Chad Sievert,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",20.94,3.00,0.00,9.84,2017,January,0.47
US-2014-100853,30-01-2017,19-09-2014,Standard Class,JB-15400,Jennifer Braxton,Chicago,Illinois,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.45,2.00,0.80,-131.12,2017,January,-2.5
US-2017-152366,31-01-2017,25-04-2017,Second Class,SJ-20500,Shirley Jackson,Houston,Texas,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.26,4.00,0.80,-243.16,2017,January,-2.5
US-2015-101511,01-02-2017,23-11-2015,Second Class,JE-15745,Joel Eaton,Newark,Ohio,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.80,7.00,0.30,-11.34,2017,February,-0.028571429
CA-2015-137225,02-02-2017,19-12-2015,Standard Class,JK-15640,Jim Kriz,New York City,New York,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1.00,0.00,1.41,2017,February,0.43
CA-2014-166191,03-02-2017,09-12-2014,Second Class,DK-13150,David Kendrick,Decatur,Illinois,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.82,2.00,0.20,1.86,2017,February,0.075
CA-2014-158274,04-02-2017,24-11-2014,Second Class,RM-19675,Robert Marley,Monroe,Louisiana,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96,4.00,0.00,131.03,2017,February,0.26
CA-2016-105018,05-02-2017,02-12-2016,Standard Class,SK-19990,Sally Knutson,Fairfield,Connecticut,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2.00,0.00,3.44,2017,February,0.48
CA-2014-123260,06-02-2017,30-08-2014,Standard Class,FM-14290,Frank Merwin,Los Angeles,California,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.80,8.00,0.00,22.98,2017,February,0.13
CA-2016-157000,07-02-2017,22-07-2016,Standard Class,AM-10360,Alice McCarthy,Grand Prairie,Texas,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.22,3.00,0.20,3.72,2017,February,0.1
CA-2015-102281,08-02-2017,14-10-2015,First Class,MP-17470,Mark Packer,New York City,New York,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.14,4.00,0.20,112.39,2017,February,0.125
CA-2015-131457,09-02-2017,06-11-2015,Standard Class,MZ-17515,Mary Zewe,Redlands,California,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7.00,0.00,6.71,2017,February,0.47
CA-2014-140004,10-02-2017,25-03-2014,Standard Class,CB-12025,Cassandra Brandow,Hamilton,Ohio,East,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.41,2.00,0.20,1.20,2017,February,0.1625
CA-2017-107720,11-02-2017,13-11-2017,Standard Class,VM-21685,Valerie Mitchum,Westfield,New Jersey,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3.00,0.00,12.03,2017,February,0.26
US-2017-124303,12-02-2017,13-07-2017,Standard Class,FH-14365,Fred Hopkins,Philadelphia,Pennsylvania,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.95,2.00,0.70,-2.26,2017,February,-0.766666667
CA-2017-105074,13-02-2017,29-06-2017,Standard Class,MB-17305,Maria Bertelson,Akron,Ohio,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.74,3.00,0.20,6.80,2017,February,0.3125
CA-2014-133690,14-02-2017,05-08-2014,First Class,BS-11755,Bruce Stewart,Denver,Colorado,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2.00,0.50,-161.88,2017,February,-0.74
US-2017-116701,15-02-2017,21-12-2017,Second Class,LC-17140,Logan Currie,Dallas,Texas,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28,2.00,0.80,-178.97,2017,February,-2.7
CA-2017-126382,16-02-2017,07-06-2017,Standard Class,HK-14890,Heather Kirkland,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.17,7.00,0.20,9.67,2017,February,0.275
CA-2017-108329,17-02-2017,14-12-2017,Standard Class,LE-16810,Laurel Elliston,Whittier,California,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.77,4.00,0.20,44.48,2017,February,0.1
CA-2017-135860,18-02-2017,07-12-2017,Standard Class,JH-15985,Joseph Holt,Saginaw,Michigan,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4.00,0.00,5.87,2017,February,0.07
CA-2015-101007,19-02-2017,13-02-2015,Second Class,MS-17980,Michael Stewart,Dallas,Texas,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.80,2.00,0.20,6.50,2017,February,0.3125
CA-2015-146262,20-02-2017,09-01-2015,Standard Class,VW-21775,Victoria Wilson,Medina,Ohio,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68,2.00,0.20,8.88,2017,February,0.375
CA-2016-130162,21-02-2017,01-11-2016,Standard Class,JH-15910,Jonathan Howell,Los Angeles,California,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6.00,0.00,26.06,2017,February,0.28
CA-2015-169397,22-02-2017,27-12-2015,First Class,JB-15925,Joni Blumstein,Dublin,Ohio,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.58,2.00,0.20,1.81,2017,February,0.325
CA-2015-163055,23-02-2017,16-08-2015,Standard Class,DS-13180,David Smith,Detroit,Michigan,Central,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.20,1.00,0.00,0.97,2017,February,0.44
US-2015-145436,24-02-2017,04-03-2015,Standard Class,VD-21670,Valerie Dominguez,Columbia,Tennessee,South,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,161.57,2.00,0.20,-28.27,2017,February,-0.175
US-2014-156216,25-02-2017,17-09-2014,Standard Class,EA-14035,Erin Ashbrook,Charlotte,North Carolina,South,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.65,7.00,0.70,-12.43,2017,February,-0.666666667
